[2024/04/20 17:09:40] ppsci INFO: Auto collation is disabled and set num_workers to 0 to speed up batch sampling.
[2024/04/20 17:09:40] ppsci INFO: Using paddlepaddle 2.6.1 on device Place(gpu:0)
[2024/04/20 17:09:40] ppsci INFO: Set to_static=False for computational optimization.
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  7/10][Iter  20/100] lr: 0.00200, loss: 0.00114, EQ: 0.00114, batch_cost: 0.00076s, reader_cost: 0.00004s, ips: 41859.55, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  7/10][Iter  30/100] lr: 0.00200, loss: 0.00124, EQ: 0.00124, batch_cost: 0.00075s, reader_cost: 0.00004s, ips: 42816.63, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  7/10][Iter  40/100] lr: 0.00200, loss: 0.00122, EQ: 0.00122, batch_cost: 0.00078s, reader_cost: 0.00004s, ips: 41115.03, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  7/10][Iter  50/100] lr: 0.00200, loss: 0.00114, EQ: 0.00114, batch_cost: 0.00078s, reader_cost: 0.00004s, ips: 41215.83, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  7/10][Iter  60/100] lr: 0.00200, loss: 0.00112, EQ: 0.00112, batch_cost: 0.00076s, reader_cost: 0.00004s, ips: 41863.16, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  7/10][Iter  70/100] lr: 0.00200, loss: 0.00114, EQ: 0.00114, batch_cost: 0.00076s, reader_cost: 0.00004s, ips: 42021.84, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  7/10][Iter  80/100] lr: 0.00200, loss: 0.00123, EQ: 0.00123, batch_cost: 0.00075s, reader_cost: 0.00004s, ips: 42400.14, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  7/10][Iter  90/100] lr: 0.00200, loss: 0.00127, EQ: 0.00127, batch_cost: 0.00075s, reader_cost: 0.00004s, ips: 42543.30, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  7/10][Iter 100/100] lr: 0.00200, loss: 0.00122, EQ: 0.00122, batch_cost: 0.00076s, reader_cost: 0.00004s, ips: 42110.06, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  8/10][Iter  10/100] lr: 0.00200, loss: 0.00078, EQ: 0.00078, batch_cost: 0.00076s, reader_cost: 0.00004s, ips: 41960.89, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  8/10][Iter  20/100] lr: 0.00200, loss: 0.00078, EQ: 0.00078, batch_cost: 0.00075s, reader_cost: 0.00005s, ips: 42842.50, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  8/10][Iter  30/100] lr: 0.00200, loss: 0.00087, EQ: 0.00087, batch_cost: 0.00075s, reader_cost: 0.00005s, ips: 42597.37, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  8/10][Iter  40/100] lr: 0.00200, loss: 0.00080, EQ: 0.00080, batch_cost: 0.00077s, reader_cost: 0.00005s, ips: 41654.20, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  8/10][Iter  50/100] lr: 0.00200, loss: 0.00076, EQ: 0.00076, batch_cost: 0.00078s, reader_cost: 0.00005s, ips: 40874.02, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  8/10][Iter  60/100] lr: 0.00200, loss: 0.00078, EQ: 0.00078, batch_cost: 0.00078s, reader_cost: 0.00005s, ips: 41163.42, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  8/10][Iter  70/100] lr: 0.00200, loss: 0.00086, EQ: 0.00086, batch_cost: 0.00077s, reader_cost: 0.00004s, ips: 41350.69, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  8/10][Iter  80/100] lr: 0.00200, loss: 0.00105, EQ: 0.00105, batch_cost: 0.00077s, reader_cost: 0.00004s, ips: 41472.66, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  8/10][Iter  90/100] lr: 0.00200, loss: 0.00124, EQ: 0.00124, batch_cost: 0.00077s, reader_cost: 0.00004s, ips: 41672.22, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  8/10][Iter 100/100] lr: 0.00200, loss: 0.00128, EQ: 0.00128, batch_cost: 0.00076s, reader_cost: 0.00004s, ips: 42034.17, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  9/10][Iter  10/100] lr: 0.00200, loss: 0.00453, EQ: 0.00453, batch_cost: 0.00074s, reader_cost: 0.00004s, ips: 43377.17, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  9/10][Iter  20/100] lr: 0.00200, loss: 0.00351, EQ: 0.00351, batch_cost: 0.00076s, reader_cost: 0.00004s, ips: 42345.45, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  9/10][Iter  30/100] lr: 0.00200, loss: 0.00262, EQ: 0.00262, batch_cost: 0.00075s, reader_cost: 0.00004s, ips: 42858.93, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  9/10][Iter  40/100] lr: 0.00200, loss: 0.00214, EQ: 0.00214, batch_cost: 0.00075s, reader_cost: 0.00004s, ips: 42428.48, eta: 0:00:00
[2024/04/20 17:09:42] ppsci INFO: [Train][Epoch  9/10][Iter  50/100] lr: 0.00200, loss: 0.00202, EQ: 0.00202, batch_cost: 0.00075s, reader_cost: 0.00004s, ips: 42872.99, eta: 0:00:00
